City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1630,Salalah,OM,82.2,Overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
1633,Palamos,ES,75.43,Overcast clouds,41.8484,3.1291,Hotel Rosamar
1634,Sao Filipe,CV,79.54,Broken clouds,14.8961,-24.4956,Hotel Xaguate
1635,Pathein,MM,76.17,Moderate rain,16.7833,94.7333,New Pammawaddy Hotel
1640,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1642,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1646,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1647,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1648,Lazaro Cardenas,MX,86.4,Overcast clouds,17.9583,-102.2,quinta antigua
1650,Padang,ID,76.12,Overcast clouds,-0.9492,100.3543,Mercure Padang
1651,Bathsheba,BB,84.63,Broken clouds,13.2167,-59.5167,Atlantis Hotel
1658,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1668,Cape Coast,GH,76.6,Overcast clouds,5.1053,-1.2466,Samrit Hotel
1670,Mayo,US,75.78,Clear sky,38.8876,-76.5119,Resorts Resource Group International
1672,Felanitx,ES,81.12,Scattered clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
1680,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1682,Itarema,BR,85.73,Broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1686,Bo Phloi,TH,77.32,Overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
1687,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1690,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1700,Tupsan,PH,81.09,Overcast clouds,9.1992,124.7769,Algen's Dive Resort
1704,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1708,Ukiah,US,78.37,Clear sky,39.1502,-123.2078,Hampton Inn Ukiah
1709,Arraial Do Cabo,BR,84.16,Clear sky,-22.9661,-42.0278,Pousada Porto Praia
1711,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1713,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1718,Arraial Do Cabo,BR,84.16,Clear sky,-22.9661,-42.0278,Pousada Porto Praia
1722,Samana,DO,88.02,Few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
1726,Vanimo,PG,77.47,Broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1731,Kapaa,US,78.12,Light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1739,Cabedelo,BR,80.62,Broken clouds,-6.9811,-34.8339,Hotel Pigalle
1746,Atuona,PF,78.58,Broken clouds,-9.8,-139.0333,Villa Enata
1752,Lorengau,PG,80.28,Broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1753,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
1755,Hilo,US,76.8,Moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1760,Arraial Do Cabo,BR,84.16,Clear sky,-22.9661,-42.0278,Pousada Porto Praia
1761,Vega De Alatorre,MX,83.91,Scattered clouds,20.0333,-96.6333,El Polo Norte
1767,Samarai,PG,79.16,Broken clouds,-10.6167,150.6667,Nuli Sapi
1782,Kharan,PK,87.17,Clear sky,28.5833,65.4167,Dil Aram Bangla
1789,Lorengau,PG,80.28,Broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1790,Acapulco,MX,85.53,Overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
