City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Port Elizabeth,-33.918,25.5701,61.09,72,0,12.66,ZA,2021-09-26 01:21:10
140,Visby,57.6409,18.296,47.95,93,10,0.0,SE,2021-09-26 01:22:07
141,Nome,64.5011,-165.4064,45.16,70,40,12.66,US,2021-09-26 01:22:07
142,Quatre Cocos,-20.2078,57.7625,70.09,76,28,16.67,MU,2021-09-26 01:22:08
143,Valreas,44.3837,4.9908,66.69,91,39,2.19,FR,2021-09-26 01:22:08
144,Barcelos,41.5388,-8.6151,64.54,96,62,4.0,PT,2021-09-26 01:22:08
145,Hilo,19.7297,-155.09,83.93,81,90,14.97,US,2021-09-26 01:11:05
146,Rio Grande,-32.035,-52.0986,61.95,93,0,0.45,BR,2021-09-26 01:22:08
147,Bengkulu,-3.8004,102.2655,74.44,96,100,2.64,ID,2021-09-26 01:19:06
148,Tuktoyaktuk,69.4541,-133.0374,34.7,99,100,17.85,CA,2021-09-26 01:13:51
149,Hermanus,-34.4187,19.2345,59.9,90,65,6.46,ZA,2021-09-26 01:12:28
150,Santa Cruz Cabralia,-16.2781,-39.0247,73.63,78,40,11.5,BR,2021-09-26 01:22:09
151,Qaanaaq,77.484,-69.3632,20.91,70,97,6.62,GL,2021-09-26 01:22:09
152,Yellowknife,62.456,-114.3525,45.41,79,100,7.0,CA,2021-09-26 01:12:01
153,Port Elizabeth,-33.918,25.5701,61.09,72,0,12.66,ZA,2021-09-26 01:21:10
154,Lebu,-37.6167,-73.65,48.24,85,20,9.55,CL,2021-09-26 01:22:00
155,Son La,21.3167,103.9,70.48,92,68,1.21,VN,2021-09-26 01:22:10
156,Coron,11.9986,120.2043,85.44,69,47,3.94,PH,2021-09-26 01:14:27
157,Wasilla,61.5814,-149.4394,46.29,77,20,3.44,US,2021-09-26 01:22:10
158,Omsukchan,62.5333,155.8,35.51,91,100,9.98,RU,2021-09-26 01:19:00
159,Bluff,-46.6,168.3333,47.8,57,72,14.81,NZ,2021-09-26 01:12:54
160,Narsaq,60.9167,-46.05,32.22,57,0,7.07,GL,2021-09-26 01:12:32
161,Bluff,-46.6,168.3333,47.8,57,72,14.81,NZ,2021-09-26 01:12:54
162,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:10:30
163,Ilulissat,69.2167,-51.1,19.42,63,40,4.61,GL,2021-09-26 01:22:11
164,Tuatapere,-46.1333,167.6833,47.82,71,86,11.03,NZ,2021-09-26 01:12:31
165,Egvekinot,66.3167,-179.1667,24.82,65,91,3.42,RU,2021-09-26 01:22:12
166,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:10:05
167,Madison Heights,42.4859,-83.1052,59.04,69,1,3.44,US,2021-09-26 01:22:12
168,Ketchikan,55.3422,-131.6461,53.58,73,100,0.94,US,2021-09-26 01:22:12
169,Baie-Comeau,49.2168,-68.1489,57.2,100,90,3.44,CA,2021-09-26 01:22:13
170,Saldanha,-33.0117,17.9442,58.59,94,6,5.41,ZA,2021-09-26 01:13:12
171,Malartic,48.1335,-78.1328,50.11,96,100,7.18,CA,2021-09-26 01:22:13
172,Albany,42.6001,-73.9662,61.59,86,100,1.99,US,2021-09-26 01:13:30
173,Ponta Do Sol,32.6667,-17.1,70.72,76,100,4.72,PT,2021-09-26 01:13:45
174,Honningsvag,70.9821,25.9704,46.69,84,68,16.55,NO,2021-09-26 01:22:14
175,Banjar,-8.19,114.9675,82.26,71,67,2.39,ID,2021-09-26 01:22:14
176,Tuktoyaktuk,69.4541,-133.0374,34.7,99,100,17.85,CA,2021-09-26 01:13:51
177,Tasiilaq,65.6145,-37.6368,39.36,60,100,9.75,GL,2021-09-26 01:12:25
178,Castro,-24.7911,-50.0119,59.94,86,0,4.52,BR,2021-09-26 01:13:18
179,Del Rio,29.3627,-100.8968,86.11,31,1,9.22,US,2021-09-26 01:22:15
180,Comodoro Rivadavia,-45.8667,-67.5,42.66,70,90,13.8,AR,2021-09-26 01:22:15
181,Vaini,-21.2,-175.2,75.36,83,75,11.5,TO,2021-09-26 01:12:38
182,Port Alfred,-33.5906,26.891,61.61,68,23,12.57,ZA,2021-09-26 01:12:59
183,Kapaa,22.0752,-159.319,84.18,71,75,4.0,US,2021-09-26 01:14:40
184,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:10:30
185,Acajutla,13.5928,-89.8275,79.5,81,100,1.36,SV,2021-09-26 01:22:15
186,Warragul,-38.1667,145.9333,59.99,52,5,7.0,AU,2021-09-26 01:22:16
187,Narsaq,60.9167,-46.05,32.22,57,0,7.07,GL,2021-09-26 01:12:32
188,Otavi,-19.65,17.3333,71.98,14,0,8.9,NA,2021-09-26 01:22:16
189,Castro,-24.7911,-50.0119,59.94,86,0,4.52,BR,2021-09-26 01:13:18
190,Cape Town,-33.9258,18.4232,60.28,87,26,1.01,ZA,2021-09-26 01:11:28
191,Grand Gaube,-20.0064,57.6608,70.38,74,2,8.99,MU,2021-09-26 01:14:16
192,Fairview,40.8126,-73.999,68.43,71,1,0.0,US,2021-09-26 01:22:17
193,Roma,43.2128,-75.4557,66.06,84,1,3.44,US,2021-09-26 01:21:20
194,Port Alfred,-33.5906,26.891,61.61,68,23,12.57,ZA,2021-09-26 01:13:33
195,Narsaq,60.9167,-46.05,32.22,57,0,7.07,GL,2021-09-26 01:12:32
196,Dikson,73.5069,80.5464,36.19,85,100,19.86,RU,2021-09-26 01:12:29
197,Hilo,19.7297,-155.09,83.93,81,90,14.97,US,2021-09-26 01:19:10
198,Richards Bay,-28.783,32.0377,68.56,74,6,13.04,ZA,2021-09-26 01:22:04
199,Bethel,41.3712,-73.414,64.71,91,1,4.61,US,2021-09-26 01:14:28
200,Ostrovnoy,68.0531,39.5131,45.16,82,100,4.7,RU,2021-09-26 01:22:18
